"Endere�o","EQUIPAMENTO","Munic�pio",,,,
"cameras.premierportariavirtual.com.br","Acesso WEB","Apucarana",,,,
"10.100.129.245","CWBRAD0009 TECNICA 07","Arteris/ Diversos PR SP",,,,
"10.100.129.246","CWBRAD0009 TECNICA 07","Arteris/ Diversos PR SP",,,,
"10.100.129.247","CWBRAD0009 TECNICA 07","Arteris/ Diversos PR SP",,,,
"10.47.142.100","CWBDSK0002 TECNICA 03","Barrac�o",,,,
"192.168.0.61","CWBDSK0004 TECNICA 02","Campina Grande do Sul",,,,
"vpn.pmcgs.pr.gov.br","CWBDSK0004 TECNICA 02","Campina Grande do Sul",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"200.186.178.3","CWBRAD0009 TECNICA 07","Campo Largo",,,,
"187.49.85.10","CWBDSK0002 TECNICA 03","Cascavel",,,,
"0.0.0.0","Acesso WEB","Conseg Jardim Social",,,,
"172.25.0.107","CWBDSK0004 TECNICA 02","COPEL/Bituruna",,,,
"172.25.0.107","CWBDSK0004 TECNICA 02","COPEL/Guarapuava",,,,
"172.25.0.107","CWBDSK0004 TECNICA 02","COPEL/Guarapuva",,,,
"172.25.0.107","CWBDSK0004 TECNICA 02","COPEL/Ponta Grossa",,,,
"172.25.0.107","CWBDSK0004 TECNICA 02","COPEL/Ponta Grossa",,,,
"172.25.0.107","CWBDSK0004 TECNICA 02","COPEL/Uni�o da Vit�ria",,,,
"10.22.254.14","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.22.254.15","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.22.254.16","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.22.254.17","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.47.0.223","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.47.0.223","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.47.0.223","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.47.0.223","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.47.0.223","CWBDSK0003 TECNICA 04","Curitiba",,,,
"10.22.254.19","CWBDSK0003 TECNICA 04","Curitiba",,,,
"rtsp://teste:teste102030@10.41.5.254:554/cam/realmonitor?channel=1&subtype=1","VLC (Fluxo de Rede)","Curitiba Centro C�vico (Pal�cio Igua�u)",,,,
"rtsp://10.41.5.236/axis-media/media.amp","VLC (Fluxo de Rede)","Curitiba Centro C�vico (Pal�cio Igua�u)",,,,
"rtsp://10.41.5.254:554/cam/realmonitor?channel=1","VLC (Fluxo de Rede)","Curitiba Centro C�vico (Pal�cio Igua�u)",,,,
"10.37.8.4","CWBDSK0004 TECNICA 02","DEPEN CCL",,,,
"10.37.8.5","CWBDSK0004 TECNICA 02","DEPEN CCL",,,,
"10.37.15.251","CWBDSK0004 TECNICA 02","DEPEN CCP PEPG",,,,
"10.37.15.251","CWBDSK0004 TECNICA 02","DEPEN CCP PEPG",,,,
"10.37.15.52","CWBDSK0004 TECNICA 02","DEPEN Curitiba CCC",,,,
"10.37.15.16","CWBDSK0004 TECNICA 02","DEPEN Curitiba CCC",,,,
"10.37.15.102","CWBDSK0004 TECNICA 02","DEPEN Curitiba CCC",,,,
"10.37.23.109","CWBDSK0004 TECNICA 02","DEPEN PIG Guarapuava",,,,
"10.37.15.110","CWBDSK0004 TECNICA 02","DEPEN Pinhais CMP",,,,
"10.37.7.7","CWBDSK0004 TECNICA 02","DEPEN Pinhais CMP",,,,
"10.37.7.13","CWBDSK0004 TECNICA 02","DEPEN",,,,
"10.37.7.15","CWBDSK0004 TECNICA 02","DEPEN Pinhais CMP",,,,
"10.37.7.114","CWBDSK0004 TECNICA 02","DEPEN Pinhais CMP",,,,
"10.37.15.110","CWBDSK0004 TECNICA 02","DEPEN Piraquara CCP",,,,
"10.37.15.21","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.22","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.23","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.42","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.125","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.132","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.124","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.15.122","CWBDSK0004 TECNICA 02","DEPEN Ponta Grossa PEPG",,,,
"10.37.11.94","CWBDSK0004 TECNICA 02","DEPPEN FOZ DO IGUA�U - DRV 1",,,,
"10.37.11.105","CWBDSK0004 TECNICA 02","DEPPEN FOZ DO IGUA�U - DRV 2",,,,
"10.37.11.116","CWBDSK0004 TECNICA 02","DEPPEN FOZ DO IGUA�U - DRV 3",,,,
